,customerid,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,closeddate,referredby,firstduedate,firstrepaiddate
0,8a2a81a74ce8c05d014cfb32a0da1049,301682320,2,2016-08-15 18:22:40.000000,2016-08-15 17:22:32.000000,10000.0,13000.0,30,2016-09-01 16:06:48.000000,,2016-09-14 00:00:00.000000,2016-09-01 15:51:43.000000
1,8a2a81a74ce8c05d014cfb32a0da1049,301883808,9,2017-04-28 18:39:07.000000,2017-04-28 17:38:53.000000,10000.0,13000.0,30,2017-05-28 14:44:49.000000,,2017-05-30 00:00:00.000000,2017-05-26 00:00:00.000000
2,8a2a81a74ce8c05d014cfb32a0da1049,301831714,8,2017-03-05 10:56:25.000000,2017-03-05 09:56:19.000000,20000.0,23800.0,30,2017-04-26 22:18:56.000000,,2017-04-04 00:00:00.000000,2017-04-26 22:03:47.000000
3,8a8588f35438fe12015444567666018e,301861541,5,2017-04-09 18:25:55.000000,2017-04-09 17:25:42.000000,10000.0,11500.0,15,2017-04-24 01:35:52.000000,,2017-04-24 00:00:00.000000,2017-04-24 00:48:43.000000
4,8a85890754145ace015429211b513e16,301941754,2,2017-06-17 09:29:57.000000,2017-06-17 08:29:50.000000,10000.0,11500.0,15,2017-07-14 21:18:43.000000,,2017-07-03 00:00:00.000000,2017-07-14 21:08:35.000000
5,8a858970548359cc0154883481981866,301832407,5,2017-03-06 13:25:17.000000,2017-03-06 12:25:10.000000,20000.0,23800.0,30,2017-04-04 15:46:56.000000,,2017-04-05 00:00:00.000000,2017-04-04 15:31:47.000000
6,8a858970548359cc0154883481981866,301926513,8,2017-06-04 01:00:23.000000,2017-06-04 00:00:16.000000,30000.0,39000.0,60,2017-07-03 23:35:38.000000,,2017-07-04 00:00:00.000000,2017-07-03 23:25:29.000000
7,8a8589f35451855401546b0738c42524,301912443,6,2017-05-18 09:42:18.000000,2017-05-18 08:41:12.000000,20000.0,24500.0,30,2017-06-19 10:10:35.000000,,2017-06-19 00:00:00.000000,2017-06-19 10:00:21.000000
8,8a858e095c59b91b015c5e5cea3719bc,301936857,2,2017-06-13 08:26:31.000000,2017-06-13 07:26:24.000000,10000.0,13000.0,30,2017-07-10 13:32:03.000000,,2017-07-13 00:00:00.000000,2017-07-10 13:21:53.000000
9,8a858e1158dc4d830158f7bde4f47ea7,301811291,3,2017-02-06 18:55:30.000000,2017-02-06 17:55:20.000000,10000.0,11500.0,15,2017-02-21 05:34:20.000000,,2017-02-21 00:00:00.000000,2017-02-21 05:19:09.000000
10,8a858e1158dc4d830158f7bde4f47ea7,301873260,7,2017-04-19 12:35:52.000000,2017-04-19 11:35:44.000000,30000.0,34400.0,30,2017-05-19 22:12:16.000000,,2017-05-19 00:00:00.000000,2017-05-19 21:57:07.000000
11,8a858e185b4923b4015b4ae48d28646a,301905582,1,2017-05-13 21:44:21.000000,2017-05-13 20:31:27.000000,10000.0,11500.0,15,2017-06-08 17:45:27.000000,,2017-05-30 00:00:00.000000,2017-06-08 17:35:19.000000
12,8a858e345bd96da8015be6b9f8bc10c7,301916835,2,2017-05-24 04:12:36.000000,2017-05-24 03:12:30.000000,10000.0,13000.0,30,2017-06-30 08:45:49.000000,,2017-06-23 00:00:00.000000,2017-06-30 08:35:40.000000
13,8a858e4456ced8470156dc8f1f4038d3,301817710,5,2017-02-15 14:30:34.000000,2017-02-15 13:30:28.000000,20000.0,21900.0,15,2017-02-25 11:47:04.000000,,2017-03-02 00:00:00.000000,2017-02-25 11:31:54.000000
14,8a858e4456ced8470156dc8f1f4038d3,301878488,8,2017-04-24 12:03:33.000000,2017-04-24 11:03:26.000000,30000.0,34400.0,30,2017-05-24 16:17:14.000000,,2017-05-24 00:00:00.000000,2017-05-24 16:02:04.000000
15,8a858e4456ced8470156dc8f1f4038d3,301845779,7,2017-03-24 14:46:08.000000,2017-03-24 13:45:51.000000,30000.0,34400.0,30,2017-04-24 11:56:17.000000,,2017-04-24 00:00:00.000000,2017-04-24 11:41:08.000000
16,8a858e5357d823010157d932443d28a3,301769628,3,2016-12-05 17:04:53.000000,2016-12-05 16:04:43.000000,10000.0,11500.0,15,2016-12-20 00:58:00.000000,,2016-12-20 00:00:00.000000,2016-12-20 00:28:51.000000
17,8a858e5357d823010157d932443d28a3,301823070,8,2017-02-21 10:05:57.000000,2017-02-21 09:05:47.000000,30000.0,34400.0,30,2017-03-23 01:24:33.000000,,2017-03-23 00:00:00.000000,2017-03-23 01:00:03.000000
18,8a858e5357d823010157d932443d28a3,301746324,1,2016-10-18 20:12:21.000000,2016-10-18 19:11:59.000000,10000.0,13000.0,30,2016-11-18 14:39:25.000000,,2016-11-18 00:00:00.000000,2016-11-18 14:24:16.000000
19,8a858e645755e62201576b58e3522081,301893833,2,2017-05-07 13:31:41.000000,2017-05-07 12:31:34.000000,10000.0,13000.0,30,2017-06-12 19:20:35.000000,,2017-06-06 00:00:00.000000,2017-06-12 19:10:27.000000
20,8a858e705668e16701567f1523211e5a,301760203,7,2016-11-16 15:47:24.000000,2016-11-16 14:47:06.000000,30000.0,34400.0,30,2016-12-14 15:10:34.000000,,2016-12-16 00:00:00.000000,2016-12-14 14:55:25.000000
21,8a858e705668e16701567f1523211e5a,301773842,8,2016-12-14 17:17:45.000000,2016-12-14 16:17:36.000000,30000.0,34400.0,30,2017-01-12 17:45:44.000000,,2017-01-13 00:00:00.000000,2017-01-12 17:30:35.000000
22,8a858e705668e16701567f1523211e5a,301743521,5,2016-10-13 16:32:45.000000,2016-10-13 15:32:37.000000,20000.0,22250.0,15,2016-10-25 19:32:42.000000,,2016-10-28 00:00:00.000000,2016-10-25 19:17:32.000000
23,8a858e7d595026f8015951c0c4a03fae,301821269,4,2017-02-18 19:35:26.000000,2017-02-18 18:35:19.000000,20000.0,21900.0,15,2017-03-02 18:25:45.000000,,2017-03-06 00:00:00.000000,2017-03-02 18:10:35.000000
